Row0=Port(Qubit1L):Terminal(JJ1L_T1)	Row1=Port(Sink):Terminal(Sink1_T1)	Row2=Port(Source):Terminal(Source1_T1)	
Frequency   	Z[1,1]_Mag  	Z[1,1]_Phs  	Z[1,2]_Mag  	Z[1,2]_Phs  	Z[1,3]_Mag  	Z[1,3]_Phs  	Z[2,1]_Mag  	Z[2,1]_Phs  	Z[2,2]_Mag  	Z[2,2]_Phs  	Z[2,3]_Mag  	Z[2,3]_Phs  	Z[3,1]_Mag  	Z[3,1]_Phs  	Z[3,2]_Mag  	Z[3,2]_Phs  	Z[3,3]_Mag  	Z[3,3]_Phs  	
1.270000000000000E+09 	1.766670351676510E+02  	-8.999924973887235E+01  	1.265468203147552E-04  	-8.996451203783471E+01  	2.618498199126357E-02  	-9.001079932383514E+01  	1.265468378912966E-04  	-8.996451062876955E+01  	1.518718078370977E+02  	-8.999954762057770E+01  	1.348101365676187E-03  	9.000016998205196E+01  	2.618498562818972E-02  	-9.001079791476872E+01  	1.348101365676195E-03  	9.000016998205137E+01  	4.986299574712999E+02  	-8.999948396565865E+01  	
1.279000000000000E+09 	1.736614601282140E+02  	-8.999925924695783E+01  	1.254537979104703E-04  	-8.996804926901882E+01  	2.574079043986017E-02  	-9.000933392363541E+01  	1.254537976370610E-04  	-8.996805383531283E+01  	1.507779135717720E+02  	-8.999954745885830E+01  	1.357599736877555E-03  	9.000014074467974E+01  	2.574079038376139E-02  	-9.000933848993105E+01  	1.357599736877565E-03  	9.000014074468032E+01  	4.951039013685978E+02  	-8.999948391689254E+01  	
1.288000000000000E+09 	1.707684188421002E+02  	-8.999926321140684E+01  	1.244214557557380E-04  	-8.997184688890820E+01  	2.531323622479905E-02  	-9.000786352453231E+01  	1.244214607707892E-04  	-8.997185207554381E+01  	1.496991295756256E+02  	-8.999954729529156E+01  	1.367099725271810E-03  	9.000011080041214E+01  	2.531323724509881E-02  	-9.000786871116792E+01  	1.367099725271809E-03  	9.000011080041463E+01  	4.916270009776218E+02  	-8.999948386759729E+01  	
1.297000000000000E+09 	1.679809657673632E+02  	-8.999925642453225E+01  	1.234463969397222E-04  	-8.997589657510476E+01  	2.490129654705243E-02  	-9.000639421549845E+01  	1.234463931359003E-04  	-8.997589178518929E+01  	1.486351412889384E+02  	-8.999954713029132E+01  	1.376601324898927E-03  	9.000008025760967E+01  	2.490129577975505E-02  	-9.000638942558349E+01  	1.376601324898941E-03  	9.000008025761005E+01  	4.881982330104692E+02  	-8.999948381789909E+01  	
1.306000000000000E+09 	1.652938799411141E+02  	-8.999928589695227E+01  	1.225263099133134E-04  	-8.998018954685159E+01  	2.450419052265172E-02  	-9.000493167193628E+01  	1.225263145014334E-04  	-8.998021116855462E+01  	1.475856428228346E+02  	-8.999954696425389E+01  	1.386104530071598E-03  	9.000004922059293E+01  	2.450419144023566E-02  	-9.000495329363935E+01  	1.386104530071584E-03  	9.000004922059405E+01  	4.848166023862980E+02  	-8.999948376791829E+01  	
1.315000000000000E+09 	1.627016176907800E+02  	-8.999929419300241E+01  	1.216586243472574E-04  	-8.998471657677958E+01  	2.412110316839278E-02  	-9.000348118291971E+01  	1.216586187735718E-04  	-8.998474353715889E+01  	1.465503366625604E+02  	-8.999954679755787E+01  	1.395609335561763E-03  	9.000001778990342E+01  	2.412110206330533E-02  	-9.000350814329863E+01  	1.395609335561764E-03  	9.000001778990304E+01  	4.814811412660287E+02  	-8.999948371776927E+01  	
1.324000000000000E+09 	1.601989908179414E+02  	-8.999926043309922E+01  	1.208408632831352E-04  	-8.998946799063773E+01  	2.375125671865448E-02  	-9.000204766707904E+01  	1.208408716587697E-04  	-8.998945831390498E+01  	1.455289333828642E+02  	-8.999954663056440E+01  	1.405115736536841E-03  	8.999998606250662E+01  	2.375125836488434E-02  	-9.000203799034617E+01  	1.405115736536846E-03  	8.999998606250659E+01  	4.781909081264592E+02  	-8.999948366756026E+01  	
1.333000000000000E+09 	1.577812331313330E+02  	-8.999926818677483E+01  	1.200708796271076E-04  	-8.999443366633862E+01  	2.339395577180328E-02  	-9.000063568849221E+01  	1.200708694105247E-04  	-8.999442892648077E+01  	1.445211513749042E+02  	-8.999954646361688E+01  	1.414623728513279E-03  	8.999995413202156E+01  	2.339395378126031E-02  	-9.000063094863350E+01  	1.414623728513276E-03  	8.999995413202116E+01  	4.749449868718915E+02  	-8.999948361739418E+01  	
1.342000000000000E+09 	1.554444247823158E+02  	-8.999927568134400E+01  	1.193469611651368E-04  	-8.999960303236966E+01  	2.304860462323390E-02  	-8.999924947268742E+01  	1.193469753914018E-04  	-8.999960301492308E+01  	1.435267165841480E+02  	-8.999954629704133E+01  	1.424133307330390E-03  	8.999992208889465E+01  	2.304860737064830E-02  	-8.999924945524087E+01  	1.424133307330390E-03  	8.999992208889465E+01  	4.717424859814972E+02  	-8.999948356736833E+01  	
1.351000000000000E+09 	1.531841693790212E+02  	-8.999928292611439E+01  	1.186671276784595E-04  	-9.000496506959759E+01  	2.271456889745596E-02  	-8.999789292685672E+01  	1.186671211811785E-04  	-9.000496955323709E+01  	1.425453622587460E+02  	-8.999954613114623E+01  	1.433644469244367E-03  	8.999989002060305E+01  	2.271456765378442E-02  	-8.999789741049629E+01  	1.433644469244370E-03  	8.999989002060367E+01  	4.685825376907378E+02  	-8.999948351757492E+01  	
1.360000000000000E+09 	1.509965607002934E+02  	-8.999926903928764E+01  	1.180295508524438E-04  	-9.001050830468027E+01  	2.239125739891478E-02  	-8.999656965253835E+01  	1.180295430830135E-04  	-9.001049617216999E+01  	1.415768287078968E+02  	-8.999954596622293E+01  	1.443157210856243E-03  	8.999985801183813E+01  	2.239125592498474E-02  	-8.999655752002818E+01  	1.443157210856250E-03  	8.999985801183952E+01  	4.654642972053268E+02  	-8.999948346810123E+01  	
1.369000000000000E+09 	1.488785195204475E+02  	-8.999929669780704E+01  	1.174330525044311E-04  	-9.001622080150550E+01  	2.207821438754141E-02  	-8.999528295726252E+01  	1.174330621288094E-04  	-9.001623360337480E+01  	1.406208630697444E+02  	-8.999954580254551E+01  	1.452671529028929E-03  	8.999982614466472E+01  	2.207821619699018E-02  	-8.999529575913191E+01  	1.452671529028945E-03  	8.999982614466283E+01  	4.623869419461913E+02  	-8.999948341902973E+01  	
1.378000000000000E+09 	1.468263145286330E+02  	-8.999926145721970E+01  	1.168759207442105E-04  	-9.002209016109406E+01  	2.177489340195740E-02  	-8.999403587569427E+01  	1.168759339177702E-04  	-9.002206499194590E+01  	1.396772190883697E+02  	-8.999954564037118E+01  	1.462187421053930E-03  	8.999979449869306E+01  	2.177489585629410E-02  	-8.999401070654618E+01  	1.462187421053912E-03  	8.999979449869596E+01  	4.593496708239804E+02  	-8.999948337043823E+01  	
1.387000000000000E+09 	1.448368088576665E+02  	-8.999928866869193E+01  	1.163568212790601E-04  	-9.002810350722649E+01  	2.148082994881568E-02  	-8.999283117756399E+01  	1.163568242428197E-04  	-9.002810280446297E+01  	1.387456568994651E+02  	-8.999954547994025E+01  	1.471704884507824E-03  	8.999976315124852E+01  	2.148083049596033E-02  	-8.999283047480034E+01  	1.471704884507836E-03  	8.999976315124839E+01  	4.563517035418716E+02  	-8.999948332239985E+01  	
